passenger_count,trip_distance,fare_amount,extra,tip_amount,total_amount,duration,pickupday,isholiday,LaGuardia Airport,Lower Manhattan,Midtown,Upper East Side,demand
2,12.74,47.5,0.5,9.6,58.4,24.0,29,0,0,0,0,0,1
1,17.5,52.0,0.0,7.0,65.13,32.00000000000001,1,1,0,0,0,0,1
2,18.5,51.0,0.5,0.0,57.63,30.0,18,0,0,0,0,0,1
1,14.8,41.0,0.0,0.0,41.8,29.0,13,0,0,0,0,0,1
1,14.3,39.5,0.5,0.0,40.8,22.0,29,0,0,0,0,0,1
2,6.15,18.5,0.0,3.86,23.16,12.0,21,0,0,0,0,0,1
6,3.07,10.5,0.0,0.0,11.3,7.0,21,0,0,0,0,0,0
1,14.37,39.0,0.5,0.0,40.3,23.0,6,0,0,0,0,0,1
1,16.33,52.0,0.0,11.47,69.6,35.0,18,0,0,0,0,0,1
2,9.65,31.0,0.0,0.0,31.8,33.00000000000001,18,0,0,0,0,0,1
1,19.3,52.0,0.0,0.0,58.13,31.000000000000004,2,0,0,0,0,0,1
1,17.42,52.0,0.0,11.47,69.6,41.0,2,0,0,0,0,0,1
1,1.8,7.0,0.0,1.55,9.35,5.0,16,0,0,0,0,0,1
0,0.1,0.01,0.0,0.0,0.31,4.000000000000001,31,0,0,0,0,0,1
1,18.69,52.0,0.0,11.63,69.76,35.0,25,0,0,0,0,0,1
1,0.0,-2.5,-0.5,0.0,-3.8,0.0,5,0,0,0,0,0,1
2,18.42,52.0,0.0,0.0,52.8,49.0,22,0,0,0,0,0,1
2,21.84,52.0,0.0,10.0,68.13,48.0,2,0,0,0,0,0,1
1,7.32,21.5,0.5,0.0,22.8,12.0,24,0,0,0,0,0,1
1,20.3,52.0,0.0,14.53,72.66,42.0,24,0,0,0,0,0,1
1,17.99,52.0,0.0,14.33,72.46,44.0,13,0,0,0,0,0,1
1,3.63,12.0,1.0,0.0,13.8,8.000000000000002,12,0,0,0,0,0,1
3,4.08,13.5,0.0,0.0,14.3,10.0,4,0,0,0,0,0,2
5,20.75,56.5,0.5,5.0,62.8,31.000000000000004,6,0,0,0,0,0,0
1,18.83,52.0,0.0,0.0,58.13,46.0,20,0,0,0,0,0,1
1,12.76,41.5,1.0,8.5,51.8,43.0,6,0,0,0,0,0,1
2,21.65,52.0,0.0,12.8,70.93,39.0,16,0,0,0,0,0,1
1,19.9,55.5,0.0,16.85,73.15,34.00000000000001,19,1,0,0,0,0,1
1,5.7,19.0,0.0,0.0,19.8,16.000000000000004,18,0,0,0,0,0,1
3,16.8,52.0,0.0,0.0,58.13,40.0,3,0,0,0,0,0,2
1,12.7,41.5,0.0,8.46,50.76,42.0,7,0,0,0,0,0,1
1,12.0,40.0,1.0,8.35,50.15,40.0,7,0,0,0,0,0,1
1,8.5,24.5,0.5,0.0,25.8,15.0,9,0,0,0,0,0,1
2,16.9,52.0,0.0,11.6,69.73,22.0,17,0,0,0,0,0,1
2,19.2,52.0,0.0,0.0,58.13,31.000000000000004,11,0,0,0,0,0,1
4,10.6,29.5,0.5,0.0,30.8,14.0,2,0,0,0,0,0,2
1,2.47,10.0,0.0,0.0,10.8,8.000000000000002,19,1,0,0,0,0,1
1,17.71,52.0,0.0,11.63,69.76,34.00000000000001,28,0,0,0,0,0,1
1,15.51,44.0,0.0,11.2,56.0,34.00000000000001,26,0,0,0,0,0,1
1,14.18,42.5,0.0,0.0,43.3,39.0,5,0,0,0,0,0,1
2,18.93,52.0,0.0,11.47,69.6,27.0,24,0,0,0,0,0,1
5,17.33,52.0,0.0,0.0,58.13,31.000000000000004,16,0,0,0,0,0,0
1,17.38,52.0,0.0,0.0,52.8,34.00000000000001,18,0,0,0,0,0,1
3,18.47,52.0,0.0,4.0,62.13,44.0,11,0,0,0,0,0,2
1,20.7,56.0,0.5,5.0,62.3,33.00000000000001,23,0,0,0,0,0,1
1,18.37,52.0,0.0,0.0,58.13,51.0,23,0,0,0,0,0,1
1,19.4,52.0,0.0,10.56,63.36,41.0,8,0,0,0,0,0,1
