passenger_count,trip_distance,fare_amount,extra,tip_amount,total_amount,duration,pickupday,isholiday,LaGuardia Airport,Lower Manhattan,Midtown,Upper East Side,demand
1,21.6,52.0,0.0,14.33,72.46,36.0,22,0,0,0,0,0,1
1,0.0,2.5,0.0,0.0,3.3,0.0,29,0,0,0,0,0,1
1,16.2,44.5,0.5,9.15,54.95,22.0,5,0,0,0,0,0,1
2,16.2,52.0,0.0,11.56,69.69,26.0,9,0,0,0,0,0,1
1,16.56,52.0,0.0,8.0,66.13,22.0,18,0,0,0,0,0,1
1,17.4,47.5,0.5,0.0,48.8,26.0,28,0,0,0,0,0,1
1,17.5,52.0,0.0,14.5,72.63,55.0,17,0,0,0,0,0,1
5,20.99,56.0,0.5,12.37,75.0,31.000000000000004,1,1,0,0,0,0,0
1,17.16,52.0,0.0,0.0,58.13,71.0,5,0,0,0,0,0,1
2,18.8,51.7,0.0,14.45,72.28,31.000000000000004,1,1,0,0,0,0,1
1,20.34,57.0,0.0,8.0,65.8,48.0,18,0,0,0,0,0,1
1,17.06,52.0,0.0,0.0,58.13,27.0,19,1,0,0,0,0,1
3,16.69,52.0,0.0,0.0,58.13,40.0,16,0,0,0,0,0,2
6,17.05,46.0,0.5,0.0,52.63,30.0,3,0,0,0,0,0,0
3,18.5,50.5,0.5,0.0,57.13,29.0,2,0,0,0,0,0,2
2,18.58,52.0,0.0,0.0,58.13,42.0,17,0,0,0,0,0,1
4,2.82,14.5,0.0,0.0,15.3,20.0,9,0,0,0,0,0,2
1,12.4,35.5,1.0,7.46,44.76,37.0,29,0,0,0,0,0,1
1,19.24,52.0,0.0,10.0,62.8,31.000000000000004,4,0,0,0,0,0,1
2,16.9,52.0,0.0,0.0,52.8,46.0,18,0,0,0,0,0,1
1,23.05,62.0,0.0,0.0,62.8,36.0,21,0,0,0,0,0,1
1,15.6,52.0,0.0,10.4,63.2,50.0,6,0,0,0,0,0,1
5,6.5,20.5,0.5,0.0,21.8,18.0,8,0,0,0,0,0,0
1,18.2,52.0,0.0,5.0,63.13,49.0,3,0,0,0,0,0,1
1,18.6,49.5,0.5,10.16,60.96,25.0,22,0,0,0,0,0,1
1,8.57,26.5,0.0,0.0,27.3,23.0,31,0,0,0,0,0,1
1,16.89,52.0,0.0,11.47,69.6,28.0,14,0,0,0,0,0,1
2,7.5,24.5,0.0,0.0,25.3,22.0,25,0,0,0,0,0,1
2,17.7,52.0,0.0,11.62,69.75,50.0,12,0,0,0,0,0,1
1,11.26,31.0,1.0,6.4,39.2,20.0,13,0,0,0,0,0,1
1,19.0,52.0,0.0,11.62,69.75,36.0,13,0,0,0,0,0,1
1,20.91,52.0,0.0,11.47,69.6,65.00000000000001,20,0,0,0,0,0,1
2,16.4,45.0,0.0,0.0,45.8,27.0,17,0,0,0,0,0,1
1,17.89,52.0,0.0,11.63,69.76,22.0,25,0,0,0,0,0,1
1,15.43,42.0,0.5,0.0,43.3,24.0,20,0,0,0,0,0,1
1,5.2,16.0,0.5,3.46,20.76,9.0,16,0,0,0,0,0,1
3,20.4,52.0,0.0,10.0,68.13,45.0,7,0,0,0,0,0,2
6,19.42,52.0,0.0,0.0,58.13,112.0,30,0,0,0,0,0,0
2,2.47,8.5,1.0,0.0,10.3,5.0,12,0,0,0,0,0,1
1,18.3,52.0,0.0,5.0,63.13,29.0,12,0,0,0,0,0,1
1,16.91,52.0,0.0,0.0,58.13,22.0,18,0,0,0,0,0,1
1,21.9,52.0,0.0,3.0,61.13,54.0,3,0,0,0,0,0,1
1,17.8,52.0,0.0,11.6,69.73,28.0,21,0,0,0,0,0,1
2,17.95,52.0,0.0,0.0,58.13,41.0,14,0,0,0,0,0,1
1,18.65,52.0,0.0,5.0,63.13,54.0,26,0,0,0,0,0,1
1,3.41,13.5,0.5,0.0,14.8,14.0,1,1,0,0,0,0,1
1,14.79,42.0,0.5,0.0,43.3,29.0,28,0,0,0,0,0,1
2,0.0,20.0,0.5,0.0,20.8,1.0000000000000002,6,0,0,0,0,0,1
4,15.97,44.0,0.5,0.0,45.3,25.0,6,0,0,0,0,0,2
1,20.8,52.0,0.0,7.0,65.13,38.0,16,0,0,0,0,0,1
1,12.06,34.0,1.0,0.0,35.8,27.0,9,0,0,0,0,0,1
1,14.15,41.5,0.0,0.0,42.3,35.0,4,0,0,0,0,0,1
1,17.9,52.0,0.0,11.6,69.73,30.0,2,0,0,0,0,0,1
1,20.16,52.0,0.0,0.0,52.8,49.0,17,0,0,0,0,0,1
1,8.38,25.5,0.0,0.0,26.3,25.0,3,0,0,0,0,0,1
2,10.5,37.0,0.0,5.0,42.8,20.0,18,0,0,0,0,0,1
1,17.68,52.0,0.0,11.63,69.76,27.0,19,1,0,0,0,0,1
1,19.1,54.0,0.0,10.95,65.75,52.0,3,0,0,0,0,0,1
1,18.5,52.0,0.0,5.0,63.13,49.0,3,0,0,0,0,0,1
1,7.37,24.0,0.0,4.96,29.76,21.0,22,0,0,0,0,0,1
2,20.59,52.0,0.0,14.53,72.66,27.0,29,0,0,0,0,0,1
2,20.9,52.0,0.0,17.4,75.53,51.0,20,0,0,0,0,0,1
1,17.02,52.0,0.0,0.0,58.13,59.0,29,0,0,0,0,0,1
3,17.65,52.0,0.0,10.56,63.36,47.0,21,0,0,0,0,0,2
1,0.2,2.5,0.0,0.0,3.3,0.0,17,0,0,0,0,0,1
1,11.1,31.5,0.0,5.0,37.3,18.0,17,0,0,0,0,0,1
1,0.0,2.5,0.5,0.0,3.8,0.0,31,0,0,0,0,0,1
1,17.0,52.0,0.0,14.5,72.63,24.0,19,1,0,0,0,0,1
2,20.0,54.5,0.0,0.0,60.63,41.0,12,0,0,0,0,0,1
1,28.9,52.0,0.0,11.6,69.73,39.0,15,0,0,0,0,0,1
3,17.0,52.0,0.0,11.6,69.73,72.0,12,0,0,0,0,0,2
3,18.69,52.0,0.0,10.56,63.36,33.00000000000001,21,0,0,0,0,0,2
1,17.48,52.0,0.0,0.0,52.8,37.0,11,0,0,0,0,0,1
1,15.8,44.0,0.5,11.3,56.6,31.000000000000004,19,1,0,0,0,0,1
1,18.1,52.0,0.0,11.62,69.75,48.0,21,0,0,0,0,0,1
1,7.4,22.5,0.5,0.0,23.8,15.0,6,0,0,0,0,0,1
1,18.5,52.0,0.0,11.6,69.73,63.00000000000001,8,0,0,0,0,0,1
1,16.3,47.5,0.0,12.08,60.38,43.0,28,0,0,0,0,0,1
5,21.98,58.5,0.0,15.96,80.59,32.00000000000001,9,0,0,0,0,0,0
2,19.65,52.0,0.0,11.63,69.76,58.0,19,1,0,0,0,0,1
1,18.7,52.0,0.0,11.6,69.73,55.0,19,1,0,0,0,0,1
1,17.0,52.0,0.0,0.0,52.8,36.0,11,0,0,0,0,0,1
1,12.27,35.5,0.5,7.36,44.16,27.0,19,1,0,0,0,0,1
1,19.2,52.0,0.0,10.0,68.13,50.0,25,0,0,0,0,0,1
3,18.57,53.5,0.0,0.0,54.3,44.0,16,0,0,0,0,0,2
6,0.03,3.5,0.0,0.0,4.3,3.0,7,0,0,0,0,0,0
1,0.01,2.5,0.0,0.0,3.3,0.0,19,1,0,0,0,0,1
1,17.5,52.0,0.0,14.53,72.66,28.0,10,0,0,0,0,0,1
5,18.53,51.0,0.5,6.0,58.3,33.00000000000001,20,0,0,0,0,0,0
1,12.3,36.0,0.5,0.0,37.3,30.0,17,0,0,0,0,0,1
1,2.1,10.5,1.0,2.45,14.75,14.0,29,0,0,0,0,0,1
1,22.74,52.0,0.0,10.56,63.36,38.0,31,0,0,0,0,0,1
1,0.0,2.5,0.0,0.0,3.3,0.0,15,0,0,0,0,0,1
1,18.1,52.0,0.0,20.0,78.13,48.0,3,0,0,0,0,0,1
1,19.14,52.0,0.0,0.0,52.8,38.0,10,0,0,0,0,0,1
1,1.83,9.0,0.0,0.0,9.8,10.0,17,0,0,0,0,0,1
1,18.0,52.0,0.0,11.47,69.6,67.00000000000001,19,1,0,0,0,0,1
1,14.3,39.5,0.5,8.15,48.95,20.0,7,0,0,0,0,0,1
4,18.62,52.0,0.0,10.0,62.8,30.0,7,0,0,0,0,0,2
2,17.7,52.0,0.0,11.6,69.73,35.0,2,0,0,0,0,0,1
6,4.92,15.5,0.5,0.0,16.8,10.0,17,0,0,0,0,0,0
4,10.5,31.0,0.5,0.0,32.3,23.0,5,0,0,0,0,0,2
1,18.19,52.0,0.0,10.56,63.36,32.00000000000001,24,0,0,0,0,0,1
1,20.21,52.0,0.0,0.0,52.8,43.0,25,0,0,0,0,0,1
1,18.15,52.0,0.0,0.0,52.8,42.0,8,0,0,0,0,0,1
2,22.8,52.0,0.0,0.0,58.13,55.0,12,0,0,0,0,0,1
1,4.6,14.0,1.0,0.0,15.8,9.0,6,0,0,0,0,0,1
1,16.59,52.0,0.0,10.0,68.13,29.0,3,0,0,0,0,0,1
2,17.8,52.0,0.0,0.0,58.13,35.0,22,0,0,0,0,0,1
1,17.7,52.0,0.0,11.47,69.6,36.0,14,0,0,0,0,0,1
1,0.0,2.5,0.0,0.0,3.3,1.0000000000000002,26,0,0,0,0,0,1
1,16.16,52.0,0.0,0.0,52.8,52.0,11,0,0,0,0,0,1
1,12.77,36.5,0.5,0.0,37.8,30.0,9,0,0,0,0,0,1
1,17.95,52.0,0.0,0.0,58.13,45.0,6,0,0,0,0,0,1
2,14.6,41.0,0.5,0.0,42.3,26.0,14,0,0,0,0,0,1
1,20.13,55.5,1.0,0.0,62.63,33.00000000000001,20,0,0,0,0,0,1
1,19.08,52.0,0.0,7.0,65.13,31.000000000000004,31,0,0,0,0,0,1
1,7.3,23.0,0.5,0.0,24.3,19.0,5,0,0,0,0,0,1
1,0.0,2.5,1.0,0.0,4.3,0.0,29,0,0,0,0,0,1
3,19.7,52.0,0.0,0.0,52.8,76.0,31,0,0,0,0,0,2
1,18.2,48.5,0.5,0.0,49.8,24.0,8,0,0,0,0,0,1
1,15.5,42.0,0.5,8.0,51.3,24.0,5,0,0,0,0,0,1
1,16.0,52.0,0.0,14.53,72.66,31.000000000000004,24,0,0,0,0,0,1
3,18.2,52.0,0.0,0.0,58.13,55.0,16,0,0,0,0,0,2
1,19.6,52.0,0.0,11.6,69.73,31.000000000000004,24,0,0,0,0,0,1
1,21.54,52.0,0.0,0.0,52.8,56.0,25,0,0,0,0,0,1
1,17.5,52.0,0.0,11.6,69.73,48.0,22,0,0,0,0,0,1
1,19.8,52.0,0.0,11.62,69.75,49.0,6,0,0,0,0,0,1
1,18.76,52.0,0.0,15.0,73.13,36.0,19,1,0,0,0,0,1
1,18.8,52.0,0.0,10.56,63.36,32.00000000000001,19,1,0,0,0,0,1
1,9.18,27.0,0.0,0.0,27.8,21.0,31,0,0,0,0,0,1
1,19.65,52.0,0.0,6.0,64.13,44.0,26,0,0,0,0,0,1
1,20.03,52.0,0.0,10.56,63.36,34.00000000000001,25,0,0,0,0,0,1
1,2.6,9.5,0.0,0.0,10.3,8.000000000000002,16,0,0,0,0,0,1
1,18.91,52.0,0.0,0.0,52.8,30.0,4,0,0,0,0,0,1
2,18.04,52.0,0.0,15.84,68.64,67.00000000000001,29,0,0,0,0,0,1
2,17.5,52.0,0.0,0.0,58.13,29.0,2,0,0,0,0,0,1
1,17.65,52.0,0.0,0.0,58.13,29.0,24,0,0,0,0,0,1
1,20.0,55.0,0.0,0.0,55.8,33.00000000000001,5,0,0,0,0,0,1
1,19.2,51.0,0.5,12.0,64.3,28.0,14,0,0,0,0,0,1
1,17.3,52.0,0.0,11.62,69.75,35.0,5,0,0,0,0,0,1
2,15.3,43.0,0.0,0.0,43.8,40.0,15,0,0,0,0,0,1
1,7.04,22.0,0.5,0.0,23.3,16.000000000000004,30,0,0,0,0,0,1
1,17.3,52.0,0.0,11.6,69.73,25.0,23,0,0,0,0,0,1
1,18.8,52.0,0.0,0.0,52.8,44.0,7,0,0,0,0,0,1
5,17.64,52.0,0.0,11.47,69.6,60.0,14,0,0,0,0,0,0
1,17.9,52.0,0.0,11.6,69.73,30.0,7,0,0,0,0,0,1
1,17.37,52.0,0.0,0.0,58.13,33.00000000000001,24,0,0,0,0,0,1
1,7.9,25.5,0.0,0.0,26.3,23.0,10,0,0,0,0,0,1
1,19.43,52.5,1.0,5.0,59.3,35.0,7,0,0,0,0,0,1
1,18.7,51.7,0.0,7.17,65.0,27.0,1,1,0,0,0,0,1
1,15.4,42.0,1.0,13.14,56.94,32.00000000000001,29,0,0,0,0,0,1
2,18.56,52.0,0.0,10.4,63.2,31.000000000000004,3,0,0,0,0,0,1
1,12.0,32.5,0.0,0.0,33.3,15.0,11,0,0,0,0,0,1
2,21.2,52.0,0.0,11.6,69.73,64.00000000000001,15,0,0,0,0,0,1
1,18.94,52.0,0.0,0.0,58.13,31.000000000000004,4,0,0,0,0,0,1
1,2.9,10.0,0.0,0.0,10.8,8.000000000000002,18,0,0,0,0,0,1
1,18.56,52.0,0.0,10.0,62.8,61.00000000000001,25,0,0,0,0,0,1
2,17.36,52.0,0.0,11.63,69.76,56.0,26,0,0,0,0,0,1
1,18.3,52.0,0.0,0.0,58.13,36.0,22,0,0,0,0,0,1
5,1.33,6.0,0.5,0.0,7.3,5.0,1,1,0,0,0,0,0
1,7.3,21.5,0.5,0.0,22.8,14.0,14,0,0,0,0,0,1
1,22.8,61.0,0.0,12.35,74.15,35.0,25,0,0,0,0,0,1
1,10.2,29.5,0.5,0.0,30.8,20.0,1,1,0,0,0,0,1
1,19.3,52.0,0.0,8.0,66.13,32.00000000000001,6,0,0,0,0,0,1
1,12.29,37.5,0.0,9.38,47.68,33.00000000000001,17,0,0,0,0,0,1
1,13.0,41.5,0.5,8.55,51.35,38.0,11,0,0,0,0,0,1
1,18.47,52.0,0.0,10.0,68.13,34.00000000000001,19,1,0,0,0,0,1
1,19.0,52.0,0.0,0.0,58.13,38.0,25,0,0,0,0,0,1
2,15.7,52.0,0.0,0.0,52.8,76.0,16,0,0,0,0,0,1
1,0.0,2.5,0.5,0.0,3.8,0.0,3,0,0,0,0,0,1
5,17.81,47.5,0.5,0.0,54.13,26.0,25,0,0,0,0,0,0
1,19.12,52.0,0.0,0.0,58.13,48.0,4,0,0,0,0,0,1
1,13.53,40.0,0.5,12.39,53.69,34.00000000000001,29,0,0,0,0,0,1
5,7.61,23.5,1.0,0.0,25.3,23.0,12,0,0,0,0,0,0
1,18.39,52.0,0.0,11.63,69.76,31.000000000000004,23,0,0,0,0,0,1
1,12.03,33.0,0.5,6.7,41.0,21.0,18,0,0,0,0,0,1
1,11.4,31.5,0.0,0.0,32.3,19.0,6,0,0,0,0,0,1
2,4.0,13.5,1.0,5.15,25.78,64.00000000000001,12,0,0,0,0,0,1
1,18.56,52.0,0.0,10.4,63.2,28.0,2,0,0,0,0,0,1
1,18.46,52.0,0.0,0.0,52.8,52.0,7,0,0,0,0,0,1
1,18.15,52.0,0.0,13.0,65.8,39.0,3,0,0,0,0,0,1
1,17.25,52.0,0.0,0.0,58.13,29.0,2,0,0,0,0,0,1
1,18.8,50.5,0.5,0.0,51.8,27.0,14,0,0,0,0,0,1
2,21.7,52.0,0.0,5.0,57.8,37.0,4,0,0,0,0,0,1
1,8.16,24.0,0.0,7.2,32.0,17.000000000000004,11,0,0,0,0,0,1
1,17.7,53.0,1.0,10.95,65.75,52.0,7,0,0,0,0,0,1
2,18.03,52.0,0.0,15.6,68.4,29.0,8,0,0,0,0,0,1
5,18.13,52.0,0.0,14.33,72.46,34.00000000000001,18,0,0,0,0,0,0
3,19.24,52.0,0.0,14.33,72.46,31.000000000000004,4,0,0,0,0,0,2
1,19.85,52.0,0.0,0.0,52.8,41.0,5,0,0,0,0,0,1
1,21.44,110.0,0.0,0.0,110.8,39.0,24,0,0,0,0,0,1
2,19.0,52.0,0.0,0.0,58.13,41.0,23,0,0,0,0,0,1
1,17.2,52.0,0.0,0.0,58.13,28.0,25,0,0,0,0,0,1
2,16.6,52.0,0.0,0.0,58.13,35.0,2,0,0,0,0,0,1
2,0.0,52.0,0.0,11.6,69.73,0.0,25,0,0,0,0,0,1
2,15.2,41.5,0.0,5.0,47.3,24.0,7,0,0,0,0,0,1
3,19.6,52.0,0.0,0.0,58.13,64.00000000000001,17,0,0,0,0,0,2
1,25.86,67.5,0.5,0.0,90.12,38.0,3,0,0,0,0,0,1
1,17.17,50.0,1.0,0.0,51.8,49.0,12,0,0,0,0,0,1
1,19.1,52.0,0.0,8.0,60.8,39.0,3,0,0,0,0,0,1
1,15.47,47.0,0.0,11.75,59.55,40.0,3,0,0,0,0,0,1
1,16.81,52.0,0.0,11.63,69.76,33.00000000000001,28,0,0,0,0,0,1
5,36.72,112.0,1.0,20.0,155.71,52.0,9,0,0,0,0,0,0
1,17.0,52.0,0.0,11.62,69.75,49.0,15,0,0,0,0,0,1
1,22.2,52.0,0.0,0.0,58.13,45.0,18,0,0,0,0,0,1
2,17.14,52.0,0.0,0.0,58.13,37.0,29,0,0,0,0,0,1
1,11.87,35.5,0.5,0.0,36.8,28.0,1,1,0,0,0,0,1
3,20.75,52.0,0.0,0.0,52.8,60.0,30,0,0,0,0,0,2
1,16.0,52.0,0.0,0.0,58.13,23.0,1,1,0,0,0,0,1
1,16.6,52.0,0.0,10.0,68.13,55.0,12,0,0,0,0,0,1
1,15.5,50.5,0.5,0.0,51.8,51.0,18,0,0,0,0,0,1
1,17.8,52.0,0.0,0.0,52.8,58.0,16,0,0,0,0,0,1
1,19.25,57.5,0.0,0.0,58.3,59.0,29,0,0,0,0,0,1
1,19.25,52.0,0.0,5.0,57.8,48.0,8,0,0,0,0,0,1
2,17.7,52.0,0.0,0.0,58.13,45.0,12,0,0,0,0,0,1
1,16.49,46.5,0.0,9.0,56.3,32.00000000000001,2,0,0,0,0,0,1
1,16.06,44.0,0.5,8.0,53.3,31.000000000000004,29,0,0,0,0,0,1
3,16.4,52.0,0.0,0.0,58.13,36.0,11,0,0,0,0,0,2
1,12.44,40.5,0.0,0.0,41.3,43.0,26,0,0,0,0,0,1
1,11.19,35.0,0.0,0.0,35.8,32.00000000000001,28,0,0,0,0,0,1
1,20.25,52.0,0.0,11.63,69.76,53.0,23,0,0,0,0,0,1
5,9.62,29.0,0.0,7.45,37.25,21.0,31,0,0,0,0,0,0
1,18.9,52.0,0.0,0.0,58.13,39.0,9,0,0,0,0,0,1
1,18.0,52.0,0.0,11.6,69.73,48.0,19,1,0,0,0,0,1
4,25.25,52.0,0.0,0.0,52.8,67.00000000000001,14,0,0,0,0,0,2
1,16.1,44.0,0.0,8.0,52.8,25.0,4,0,0,0,0,0,1
2,21.21,52.0,0.0,11.63,69.76,53.0,23,0,0,0,0,0,1
3,24.1,75.0,0.0,15.0,96.13,42.0,7,0,0,0,0,0,2
2,17.69,52.0,0.0,11.47,69.6,32.00000000000001,15,0,0,0,0,0,1
2,10.88,34.0,0.0,0.0,34.8,31.000000000000004,8,0,0,0,0,0,1
2,19.0,53.0,0.5,10.85,65.15,38.0,15,0,0,0,0,0,1
1,20.8,52.0,0.0,11.6,69.73,29.0,11,0,0,0,0,0,1
1,14.77,57.5,1.0,0.0,59.3,71.0,19,1,0,0,0,0,1
1,19.1,52.0,0.0,0.0,58.13,26.0,18,0,0,0,0,0,1
1,15.01,42.5,0.0,5.0,48.3,30.0,30,0,0,0,0,0,1
1,10.8,32.5,0.5,6.76,40.56,25.0,9,0,0,0,0,0,1
1,19.2,52.0,0.0,0.0,58.13,91.0,19,1,0,0,0,0,1
1,18.08,52.0,0.0,10.0,68.13,41.0,11,0,0,0,0,0,1
1,12.24,40.0,0.0,0.0,40.8,42.0,13,0,0,0,0,0,1
2,17.76,52.0,0.0,13.2,66.0,30.0,24,0,0,0,0,0,1
1,16.7,52.0,0.0,0.0,58.13,26.0,6,0,0,0,0,0,1
1,12.67,36.5,0.0,0.0,37.3,33.00000000000001,3,0,0,0,0,0,1
1,14.7,40.0,1.0,6.0,47.8,25.0,6,0,0,0,0,0,1
1,7.39,22.0,1.0,0.0,23.8,14.0,14,0,0,0,0,0,1
1,18.9,52.0,0.0,0.0,58.13,29.0,7,0,0,0,0,0,1
2,18.5,52.0,0.0,0.0,58.13,34.00000000000001,7,0,0,0,0,0,1
1,16.45,44.5,0.0,15.19,65.82,27.0,24,0,0,0,0,0,1
1,4.1,14.0,0.0,0.0,14.8,12.0,18,0,0,0,0,0,1
6,16.16,45.5,1.0,13.95,61.25,40.0,6,0,0,0,0,0,0
1,20.4,52.0,0.0,11.6,69.73,30.0,15,0,0,0,0,0,1
1,18.2,52.0,0.0,11.6,69.73,57.0,30,0,0,0,0,0,1
1,19.0,52.0,0.0,11.6,69.73,54.0,6,0,0,0,0,0,1
1,20.9,65.5,0.0,0.0,66.3,66.00000000000001,6,0,0,0,0,0,1
1,18.22,52.0,0.0,11.47,69.6,29.0,12,0,0,0,0,0,1
1,12.17,37.5,0.0,9.38,47.68,34.00000000000001,2,0,0,0,0,0,1
1,4.6,15.0,0.5,0.0,16.3,10.0,2,0,0,0,0,0,1
1,2.9,10.5,0.0,0.0,11.3,8.000000000000002,31,0,0,0,0,0,1
1,18.12,52.0,0.0,0.0,58.13,65.00000000000001,13,0,0,0,0,0,1
1,10.04,38.0,0.0,10.0,54.13,52.0,9,0,0,0,0,0,1
2,5.4,18.0,0.0,0.0,18.8,16.000000000000004,17,0,0,0,0,0,1
1,20.73,52.0,0.0,0.0,58.13,54.0,29,0,0,0,0,0,1
1,18.99,53.5,0.0,0.0,54.3,34.00000000000001,28,0,0,0,0,0,1
1,20.4,56.0,0.0,0.0,56.8,36.0,17,0,0,0,0,0,1
1,18.3,52.0,0.0,11.62,69.75,26.0,11,0,0,0,0,0,1
1,8.73,27.5,0.5,5.6,34.4,21.0,12,0,0,0,0,0,1
4,7.7,27.0,0.0,4.17,31.97,26.0,23,0,0,0,0,0,2
5,6.84,21.0,0.5,5.38,27.68,15.0,18,0,0,0,0,0,0
1,17.9,52.0,0.0,11.6,69.73,46.0,30,0,0,0,0,0,1
1,19.21,52.0,0.0,13.0,65.8,53.0,5,0,0,0,0,0,1
1,18.2,52.0,0.0,0.0,58.13,28.0,19,1,0,0,0,0,1
1,0.0,20.0,0.0,0.0,20.3,0.0,23,0,0,0,0,0,1
5,15.33,41.5,0.5,0.0,42.8,22.0,6,0,0,0,0,0,0
1,5.22,17.5,0.5,0.0,18.8,14.0,19,1,0,0,0,0,1
5,17.97,52.0,0.0,0.0,58.13,42.0,9,0,0,0,0,0,0
1,18.3,52.0,0.0,11.62,69.75,32.00000000000001,24,0,0,0,0,0,1
4,0.0,2.5,0.0,0.0,3.3,1.0000000000000002,25,0,0,0,0,0,2
1,17.59,52.0,0.0,0.0,52.8,47.0,14,0,0,0,0,0,1
5,22.47,52.0,0.0,13.0,65.8,37.0,6,0,0,0,0,0,0
1,19.4,52.0,0.0,10.0,68.13,40.0,4,0,0,0,0,0,1
1,12.9,40.0,0.0,8.1,48.9,38.0,3,0,0,0,0,0,1
1,7.0,22.0,0.5,0.0,23.3,19.0,29,0,0,0,0,0,1
2,19.15,52.0,0.5,10.5,63.8,33.00000000000001,6,0,0,0,0,0,1
1,19.55,52.0,0.0,5.5,63.63,36.0,18,0,0,0,0,0,1
1,13.8,38.5,0.0,4.0,43.3,28.0,13,0,0,0,0,0,1
1,6.98,21.5,1.0,0.0,23.3,17.000000000000004,5,0,0,0,0,0,1
1,16.3,52.0,0.0,7.0,65.13,38.0,2,0,0,0,0,0,1
6,11.92,35.5,0.5,7.2,44.0,30.0,18,0,0,0,0,0,0
2,17.98,52.0,0.0,6.5,64.63,41.0,13,0,0,0,0,0,1
5,8.4,30.0,0.5,0.0,31.3,22.0,20,0,0,0,0,0,0
1,18.0,52.0,0.0,11.47,69.6,43.0,2,0,0,0,0,0,1
