passenger_count,trip_distance,pickup_location,fare_amount,extra,tip_amount,total_amount,duration,pickupday,demand
2,12.74,JFK Airport,47.5,0.5,9.6,58.4,24.0,29,low
1,17.5,JFK Airport,52.0,0.0,7.0,65.13,32.00000000000001,1,low
2,18.5,JFK Airport,51.0,0.5,0.0,57.63,30.0,18,low
1,14.8,JFK Airport,41.0,0.0,0.0,41.8,29.0,13,low
1,14.3,JFK Airport,39.5,0.5,0.0,40.8,22.0,29,low
2,6.15,JFK Airport,18.5,0.0,3.86,23.16,12.0,21,low
6,3.07,JFK Airport,10.5,0.0,0.0,11.3,7.0,21,high
1,14.37,JFK Airport,39.0,0.5,0.0,40.3,23.0,6,low
1,16.33,JFK Airport,52.0,0.0,11.47,69.6,35.0,18,low
2,9.65,JFK Airport,31.0,0.0,0.0,31.8,33.00000000000001,18,low
1,19.3,JFK Airport,52.0,0.0,0.0,58.13,31.000000000000004,2,low
1,17.42,JFK Airport,52.0,0.0,11.47,69.6,41.0,2,low
1,1.8,JFK Airport,7.0,0.0,1.55,9.35,5.0,16,low
0,0.1,JFK Airport,0.01,0.0,0.0,0.31,4.000000000000001,31,low
1,18.69,JFK Airport,52.0,0.0,11.63,69.76,35.0,25,low
1,0.0,JFK Airport,-2.5,-0.5,0.0,-3.8,0.0,5,low
2,18.42,JFK Airport,52.0,0.0,0.0,52.8,49.0,22,low
2,21.84,JFK Airport,52.0,0.0,10.0,68.13,48.0,2,low
1,7.32,JFK Airport,21.5,0.5,0.0,22.8,12.0,24,low
1,20.3,JFK Airport,52.0,0.0,14.53,72.66,42.0,24,low
1,17.99,JFK Airport,52.0,0.0,14.33,72.46,44.0,13,low
1,3.63,JFK Airport,12.0,1.0,0.0,13.8,8.000000000000002,12,low
3,4.08,JFK Airport,13.5,0.0,0.0,14.3,10.0,4,medium
5,20.75,JFK Airport,56.5,0.5,5.0,62.8,31.000000000000004,6,high
1,18.83,JFK Airport,52.0,0.0,0.0,58.13,46.0,20,low
1,12.76,JFK Airport,41.5,1.0,8.5,51.8,43.0,6,low
2,21.65,JFK Airport,52.0,0.0,12.8,70.93,39.0,16,low
1,19.9,JFK Airport,55.5,0.0,16.85,73.15,34.00000000000001,19,low
1,5.7,JFK Airport,19.0,0.0,0.0,19.8,16.000000000000004,18,low
3,16.8,JFK Airport,52.0,0.0,0.0,58.13,40.0,3,medium
1,12.7,JFK Airport,41.5,0.0,8.46,50.76,42.0,7,low
1,12.0,JFK Airport,40.0,1.0,8.35,50.15,40.0,7,low
1,8.5,JFK Airport,24.5,0.5,0.0,25.8,15.0,9,low
2,16.9,JFK Airport,52.0,0.0,11.6,69.73,22.0,17,low
2,19.2,JFK Airport,52.0,0.0,0.0,58.13,31.000000000000004,11,low
4,10.6,JFK Airport,29.5,0.5,0.0,30.8,14.0,2,medium
1,2.47,JFK Airport,10.0,0.0,0.0,10.8,8.000000000000002,19,low
1,17.71,JFK Airport,52.0,0.0,11.63,69.76,34.00000000000001,28,low
1,15.51,JFK Airport,44.0,0.0,11.2,56.0,34.00000000000001,26,low
1,14.18,JFK Airport,42.5,0.0,0.0,43.3,39.0,5,low
2,18.93,JFK Airport,52.0,0.0,11.47,69.6,27.0,24,low
5,17.33,JFK Airport,52.0,0.0,0.0,58.13,31.000000000000004,16,high
1,17.38,JFK Airport,52.0,0.0,0.0,52.8,34.00000000000001,18,low
3,18.47,JFK Airport,52.0,0.0,4.0,62.13,44.0,11,medium
1,20.7,JFK Airport,56.0,0.5,5.0,62.3,33.00000000000001,23,low
1,18.37,JFK Airport,52.0,0.0,0.0,58.13,51.0,23,low
1,19.4,JFK Airport,52.0,0.0,10.56,63.36,41.0,8,low
1,21.6,JFK Airport,52.0,0.0,14.33,72.46,36.0,22,low
1,0.0,JFK Airport,2.5,0.0,0.0,3.3,0.0,29,low
1,16.2,JFK Airport,44.5,0.5,9.15,54.95,22.0,5,low
2,16.2,JFK Airport,52.0,0.0,11.56,69.69,26.0,9,low
1,16.56,JFK Airport,52.0,0.0,8.0,66.13,22.0,18,low
1,17.4,JFK Airport,47.5,0.5,0.0,48.8,26.0,28,low
1,17.5,JFK Airport,52.0,0.0,14.5,72.63,55.0,17,low
5,20.99,JFK Airport,56.0,0.5,12.37,75.0,31.000000000000004,1,high
1,17.16,JFK Airport,52.0,0.0,0.0,58.13,71.0,5,low
2,18.8,JFK Airport,51.7,0.0,14.45,72.28,31.000000000000004,1,low
1,20.34,JFK Airport,57.0,0.0,8.0,65.8,48.0,18,low
1,17.06,JFK Airport,52.0,0.0,0.0,58.13,27.0,19,low
3,16.69,JFK Airport,52.0,0.0,0.0,58.13,40.0,16,medium
6,17.05,JFK Airport,46.0,0.5,0.0,52.63,30.0,3,high
3,18.5,JFK Airport,50.5,0.5,0.0,57.13,29.0,2,medium
2,18.58,JFK Airport,52.0,0.0,0.0,58.13,42.0,17,low
4,2.82,JFK Airport,14.5,0.0,0.0,15.3,20.0,9,medium
1,12.4,JFK Airport,35.5,1.0,7.46,44.76,37.0,29,low
1,19.24,JFK Airport,52.0,0.0,10.0,62.8,31.000000000000004,4,low
2,16.9,JFK Airport,52.0,0.0,0.0,52.8,46.0,18,low
1,23.05,JFK Airport,62.0,0.0,0.0,62.8,36.0,21,low
1,15.6,JFK Airport,52.0,0.0,10.4,63.2,50.0,6,low
5,6.5,JFK Airport,20.5,0.5,0.0,21.8,18.0,8,high
1,18.2,JFK Airport,52.0,0.0,5.0,63.13,49.0,3,low
1,18.6,JFK Airport,49.5,0.5,10.16,60.96,25.0,22,low
1,8.57,JFK Airport,26.5,0.0,0.0,27.3,23.0,31,low
1,16.89,JFK Airport,52.0,0.0,11.47,69.6,28.0,14,low
2,7.5,JFK Airport,24.5,0.0,0.0,25.3,22.0,25,low
2,17.7,JFK Airport,52.0,0.0,11.62,69.75,50.0,12,low
1,11.26,JFK Airport,31.0,1.0,6.4,39.2,20.0,13,low
1,19.0,JFK Airport,52.0,0.0,11.62,69.75,36.0,13,low
1,20.91,JFK Airport,52.0,0.0,11.47,69.6,65.00000000000001,20,low
2,16.4,JFK Airport,45.0,0.0,0.0,45.8,27.0,17,low
1,17.89,JFK Airport,52.0,0.0,11.63,69.76,22.0,25,low
1,15.43,JFK Airport,42.0,0.5,0.0,43.3,24.0,20,low
1,5.2,JFK Airport,16.0,0.5,3.46,20.76,9.0,16,low
3,20.4,JFK Airport,52.0,0.0,10.0,68.13,45.0,7,medium
6,19.42,JFK Airport,52.0,0.0,0.0,58.13,112.0,30,high
2,2.47,JFK Airport,8.5,1.0,0.0,10.3,5.0,12,low
1,18.3,JFK Airport,52.0,0.0,5.0,63.13,29.0,12,low
1,16.91,JFK Airport,52.0,0.0,0.0,58.13,22.0,18,low
1,21.9,JFK Airport,52.0,0.0,3.0,61.13,54.0,3,low
1,17.8,JFK Airport,52.0,0.0,11.6,69.73,28.0,21,low
2,17.95,JFK Airport,52.0,0.0,0.0,58.13,41.0,14,low
