passenger_count,trip_distance,pickup_location,fare_amount,extra,tip_amount,total_amount,duration,pickupday,demand
1,18.65,JFK Airport,52.0,0.0,5.0,63.13,54.0,26,low
1,3.41,JFK Airport,13.5,0.5,0.0,14.8,14.0,1,low
1,14.79,JFK Airport,42.0,0.5,0.0,43.3,29.0,28,low
2,0.0,JFK Airport,20.0,0.5,0.0,20.8,1.0000000000000002,6,low
4,15.97,JFK Airport,44.0,0.5,0.0,45.3,25.0,6,medium
1,20.8,JFK Airport,52.0,0.0,7.0,65.13,38.0,16,low
1,12.06,JFK Airport,34.0,1.0,0.0,35.8,27.0,9,low
1,14.15,JFK Airport,41.5,0.0,0.0,42.3,35.0,4,low
1,17.9,JFK Airport,52.0,0.0,11.6,69.73,30.0,2,low
1,20.16,JFK Airport,52.0,0.0,0.0,52.8,49.0,17,low
1,8.38,JFK Airport,25.5,0.0,0.0,26.3,25.0,3,low
2,10.5,JFK Airport,37.0,0.0,5.0,42.8,20.0,18,low
1,17.68,JFK Airport,52.0,0.0,11.63,69.76,27.0,19,low
1,19.1,JFK Airport,54.0,0.0,10.95,65.75,52.0,3,low
1,18.5,JFK Airport,52.0,0.0,5.0,63.13,49.0,3,low
1,7.37,JFK Airport,24.0,0.0,4.96,29.76,21.0,22,low
2,20.59,JFK Airport,52.0,0.0,14.53,72.66,27.0,29,low
2,20.9,JFK Airport,52.0,0.0,17.4,75.53,51.0,20,low
1,17.02,JFK Airport,52.0,0.0,0.0,58.13,59.0,29,low
3,17.65,JFK Airport,52.0,0.0,10.56,63.36,47.0,21,medium
1,0.2,JFK Airport,2.5,0.0,0.0,3.3,0.0,17,low
1,11.1,JFK Airport,31.5,0.0,5.0,37.3,18.0,17,low
1,0.0,JFK Airport,2.5,0.5,0.0,3.8,0.0,31,low
1,17.0,JFK Airport,52.0,0.0,14.5,72.63,24.0,19,low
2,20.0,JFK Airport,54.5,0.0,0.0,60.63,41.0,12,low
1,28.9,JFK Airport,52.0,0.0,11.6,69.73,39.0,15,low
3,17.0,JFK Airport,52.0,0.0,11.6,69.73,72.0,12,medium
3,18.69,JFK Airport,52.0,0.0,10.56,63.36,33.00000000000001,21,medium
1,17.48,JFK Airport,52.0,0.0,0.0,52.8,37.0,11,low
1,15.8,JFK Airport,44.0,0.5,11.3,56.6,31.000000000000004,19,low
1,18.1,JFK Airport,52.0,0.0,11.62,69.75,48.0,21,low
1,7.4,JFK Airport,22.5,0.5,0.0,23.8,15.0,6,low
1,18.5,JFK Airport,52.0,0.0,11.6,69.73,63.00000000000001,8,low
1,16.3,JFK Airport,47.5,0.0,12.08,60.38,43.0,28,low
5,21.98,JFK Airport,58.5,0.0,15.96,80.59,32.00000000000001,9,high
2,19.65,JFK Airport,52.0,0.0,11.63,69.76,58.0,19,low
1,18.7,JFK Airport,52.0,0.0,11.6,69.73,55.0,19,low
1,17.0,JFK Airport,52.0,0.0,0.0,52.8,36.0,11,low
1,12.27,JFK Airport,35.5,0.5,7.36,44.16,27.0,19,low
1,19.2,JFK Airport,52.0,0.0,10.0,68.13,50.0,25,low
3,18.57,JFK Airport,53.5,0.0,0.0,54.3,44.0,16,medium
6,0.03,JFK Airport,3.5,0.0,0.0,4.3,3.0,7,high
1,0.01,JFK Airport,2.5,0.0,0.0,3.3,0.0,19,low
1,17.5,JFK Airport,52.0,0.0,14.53,72.66,28.0,10,low
5,18.53,JFK Airport,51.0,0.5,6.0,58.3,33.00000000000001,20,high
1,12.3,JFK Airport,36.0,0.5,0.0,37.3,30.0,17,low
1,2.1,JFK Airport,10.5,1.0,2.45,14.75,14.0,29,low
1,22.74,JFK Airport,52.0,0.0,10.56,63.36,38.0,31,low
1,0.0,JFK Airport,2.5,0.0,0.0,3.3,0.0,15,low
1,18.1,JFK Airport,52.0,0.0,20.0,78.13,48.0,3,low
1,19.14,JFK Airport,52.0,0.0,0.0,52.8,38.0,10,low
1,1.83,JFK Airport,9.0,0.0,0.0,9.8,10.0,17,low
1,18.0,JFK Airport,52.0,0.0,11.47,69.6,67.00000000000001,19,low
1,14.3,JFK Airport,39.5,0.5,8.15,48.95,20.0,7,low
4,18.62,JFK Airport,52.0,0.0,10.0,62.8,30.0,7,medium
2,17.7,JFK Airport,52.0,0.0,11.6,69.73,35.0,2,low
6,4.92,JFK Airport,15.5,0.5,0.0,16.8,10.0,17,high
4,10.5,JFK Airport,31.0,0.5,0.0,32.3,23.0,5,medium
1,18.19,JFK Airport,52.0,0.0,10.56,63.36,32.00000000000001,24,low
1,20.21,JFK Airport,52.0,0.0,0.0,52.8,43.0,25,low
1,18.15,JFK Airport,52.0,0.0,0.0,52.8,42.0,8,low
2,22.8,JFK Airport,52.0,0.0,0.0,58.13,55.0,12,low
1,4.6,JFK Airport,14.0,1.0,0.0,15.8,9.0,6,low
1,16.59,JFK Airport,52.0,0.0,10.0,68.13,29.0,3,low
2,17.8,JFK Airport,52.0,0.0,0.0,58.13,35.0,22,low
1,17.7,JFK Airport,52.0,0.0,11.47,69.6,36.0,14,low
1,0.0,JFK Airport,2.5,0.0,0.0,3.3,1.0000000000000002,26,low
1,16.16,JFK Airport,52.0,0.0,0.0,52.8,52.0,11,low
1,12.77,JFK Airport,36.5,0.5,0.0,37.8,30.0,9,low
1,17.95,JFK Airport,52.0,0.0,0.0,58.13,45.0,6,low
2,14.6,JFK Airport,41.0,0.5,0.0,42.3,26.0,14,low
1,20.13,JFK Airport,55.5,1.0,0.0,62.63,33.00000000000001,20,low
1,19.08,JFK Airport,52.0,0.0,7.0,65.13,31.000000000000004,31,low
1,7.3,JFK Airport,23.0,0.5,0.0,24.3,19.0,5,low
1,0.0,JFK Airport,2.5,1.0,0.0,4.3,0.0,29,low
3,19.7,JFK Airport,52.0,0.0,0.0,52.8,76.0,31,medium
1,18.2,JFK Airport,48.5,0.5,0.0,49.8,24.0,8,low
1,15.5,JFK Airport,42.0,0.5,8.0,51.3,24.0,5,low
1,16.0,JFK Airport,52.0,0.0,14.53,72.66,31.000000000000004,24,low
3,18.2,JFK Airport,52.0,0.0,0.0,58.13,55.0,16,medium
1,19.6,JFK Airport,52.0,0.0,11.6,69.73,31.000000000000004,24,low
1,21.54,JFK Airport,52.0,0.0,0.0,52.8,56.0,25,low
1,17.5,JFK Airport,52.0,0.0,11.6,69.73,48.0,22,low
1,19.8,JFK Airport,52.0,0.0,11.62,69.75,49.0,6,low
1,18.76,JFK Airport,52.0,0.0,15.0,73.13,36.0,19,low
1,18.8,JFK Airport,52.0,0.0,10.56,63.36,32.00000000000001,19,low
1,9.18,JFK Airport,27.0,0.0,0.0,27.8,21.0,31,low
1,19.65,JFK Airport,52.0,0.0,6.0,64.13,44.0,26,low
1,20.03,JFK Airport,52.0,0.0,10.56,63.36,34.00000000000001,25,low
1,2.6,JFK Airport,9.5,0.0,0.0,10.3,8.000000000000002,16,low
1,18.91,JFK Airport,52.0,0.0,0.0,52.8,30.0,4,low
2,18.04,JFK Airport,52.0,0.0,15.84,68.64,67.00000000000001,29,low
2,17.5,JFK Airport,52.0,0.0,0.0,58.13,29.0,2,low
1,17.65,JFK Airport,52.0,0.0,0.0,58.13,29.0,24,low
1,20.0,JFK Airport,55.0,0.0,0.0,55.8,33.00000000000001,5,low
1,19.2,JFK Airport,51.0,0.5,12.0,64.3,28.0,14,low
1,17.3,JFK Airport,52.0,0.0,11.62,69.75,35.0,5,low
2,15.3,JFK Airport,43.0,0.0,0.0,43.8,40.0,15,low
1,7.04,JFK Airport,22.0,0.5,0.0,23.3,16.000000000000004,30,low
1,17.3,JFK Airport,52.0,0.0,11.6,69.73,25.0,23,low
1,18.8,JFK Airport,52.0,0.0,0.0,52.8,44.0,7,low
5,17.64,JFK Airport,52.0,0.0,11.47,69.6,60.0,14,high
1,17.9,JFK Airport,52.0,0.0,11.6,69.73,30.0,7,low
1,17.37,JFK Airport,52.0,0.0,0.0,58.13,33.00000000000001,24,low
1,7.9,JFK Airport,25.5,0.0,0.0,26.3,23.0,10,low
1,19.43,JFK Airport,52.5,1.0,5.0,59.3,35.0,7,low
1,18.7,JFK Airport,51.7,0.0,7.17,65.0,27.0,1,low
1,15.4,JFK Airport,42.0,1.0,13.14,56.94,32.00000000000001,29,low
2,18.56,JFK Airport,52.0,0.0,10.4,63.2,31.000000000000004,3,low
1,12.0,JFK Airport,32.5,0.0,0.0,33.3,15.0,11,low
2,21.2,JFK Airport,52.0,0.0,11.6,69.73,64.00000000000001,15,low
1,18.94,JFK Airport,52.0,0.0,0.0,58.13,31.000000000000004,4,low
1,2.9,JFK Airport,10.0,0.0,0.0,10.8,8.000000000000002,18,low
1,18.56,JFK Airport,52.0,0.0,10.0,62.8,61.00000000000001,25,low
2,17.36,JFK Airport,52.0,0.0,11.63,69.76,56.0,26,low
1,18.3,JFK Airport,52.0,0.0,0.0,58.13,36.0,22,low
5,1.33,JFK Airport,6.0,0.5,0.0,7.3,5.0,1,high
1,7.3,JFK Airport,21.5,0.5,0.0,22.8,14.0,14,low
1,22.8,JFK Airport,61.0,0.0,12.35,74.15,35.0,25,low
1,10.2,JFK Airport,29.5,0.5,0.0,30.8,20.0,1,low
1,19.3,JFK Airport,52.0,0.0,8.0,66.13,32.00000000000001,6,low
1,12.29,JFK Airport,37.5,0.0,9.38,47.68,33.00000000000001,17,low
1,13.0,JFK Airport,41.5,0.5,8.55,51.35,38.0,11,low
1,18.47,JFK Airport,52.0,0.0,10.0,68.13,34.00000000000001,19,low
1,19.0,JFK Airport,52.0,0.0,0.0,58.13,38.0,25,low
2,15.7,JFK Airport,52.0,0.0,0.0,52.8,76.0,16,low
1,0.0,JFK Airport,2.5,0.5,0.0,3.8,0.0,3,low
5,17.81,JFK Airport,47.5,0.5,0.0,54.13,26.0,25,high
1,19.12,JFK Airport,52.0,0.0,0.0,58.13,48.0,4,low
1,13.53,JFK Airport,40.0,0.5,12.39,53.69,34.00000000000001,29,low
5,7.61,JFK Airport,23.5,1.0,0.0,25.3,23.0,12,high
1,18.39,JFK Airport,52.0,0.0,11.63,69.76,31.000000000000004,23,low
1,12.03,JFK Airport,33.0,0.5,6.7,41.0,21.0,18,low
1,11.4,JFK Airport,31.5,0.0,0.0,32.3,19.0,6,low
2,4.0,JFK Airport,13.5,1.0,5.15,25.78,64.00000000000001,12,low
1,18.56,JFK Airport,52.0,0.0,10.4,63.2,28.0,2,low
1,18.46,JFK Airport,52.0,0.0,0.0,52.8,52.0,7,low
1,18.15,JFK Airport,52.0,0.0,13.0,65.8,39.0,3,low
1,17.25,JFK Airport,52.0,0.0,0.0,58.13,29.0,2,low
1,18.8,JFK Airport,50.5,0.5,0.0,51.8,27.0,14,low
2,21.7,JFK Airport,52.0,0.0,5.0,57.8,37.0,4,low
1,8.16,JFK Airport,24.0,0.0,7.2,32.0,17.000000000000004,11,low
1,17.7,JFK Airport,53.0,1.0,10.95,65.75,52.0,7,low
2,18.03,JFK Airport,52.0,0.0,15.6,68.4,29.0,8,low
5,18.13,JFK Airport,52.0,0.0,14.33,72.46,34.00000000000001,18,high
3,19.24,JFK Airport,52.0,0.0,14.33,72.46,31.000000000000004,4,medium
1,19.85,JFK Airport,52.0,0.0,0.0,52.8,41.0,5,low
1,21.44,JFK Airport,110.0,0.0,0.0,110.8,39.0,24,low
2,19.0,JFK Airport,52.0,0.0,0.0,58.13,41.0,23,low
1,17.2,JFK Airport,52.0,0.0,0.0,58.13,28.0,25,low
2,16.6,JFK Airport,52.0,0.0,0.0,58.13,35.0,2,low
2,0.0,JFK Airport,52.0,0.0,11.6,69.73,0.0,25,low
2,15.2,JFK Airport,41.5,0.0,5.0,47.3,24.0,7,low
3,19.6,JFK Airport,52.0,0.0,0.0,58.13,64.00000000000001,17,medium
1,25.86,JFK Airport,67.5,0.5,0.0,90.12,38.0,3,low
1,17.17,JFK Airport,50.0,1.0,0.0,51.8,49.0,12,low
1,19.1,JFK Airport,52.0,0.0,8.0,60.8,39.0,3,low
1,15.47,JFK Airport,47.0,0.0,11.75,59.55,40.0,3,low
1,16.81,JFK Airport,52.0,0.0,11.63,69.76,33.00000000000001,28,low
5,36.72,JFK Airport,112.0,1.0,20.0,155.71,52.0,9,high
1,17.0,JFK Airport,52.0,0.0,11.62,69.75,49.0,15,low
1,22.2,JFK Airport,52.0,0.0,0.0,58.13,45.0,18,low
2,17.14,JFK Airport,52.0,0.0,0.0,58.13,37.0,29,low
1,11.87,JFK Airport,35.5,0.5,0.0,36.8,28.0,1,low
3,20.75,JFK Airport,52.0,0.0,0.0,52.8,60.0,30,medium
1,16.0,JFK Airport,52.0,0.0,0.0,58.13,23.0,1,low
1,16.6,JFK Airport,52.0,0.0,10.0,68.13,55.0,12,low
1,15.5,JFK Airport,50.5,0.5,0.0,51.8,51.0,18,low
1,17.8,JFK Airport,52.0,0.0,0.0,52.8,58.0,16,low
1,19.25,JFK Airport,57.5,0.0,0.0,58.3,59.0,29,low
1,19.25,JFK Airport,52.0,0.0,5.0,57.8,48.0,8,low
2,17.7,JFK Airport,52.0,0.0,0.0,58.13,45.0,12,low
1,16.49,JFK Airport,46.5,0.0,9.0,56.3,32.00000000000001,2,low
1,16.06,JFK Airport,44.0,0.5,8.0,53.3,31.000000000000004,29,low
3,16.4,JFK Airport,52.0,0.0,0.0,58.13,36.0,11,medium
1,12.44,JFK Airport,40.5,0.0,0.0,41.3,43.0,26,low
1,11.19,JFK Airport,35.0,0.0,0.0,35.8,32.00000000000001,28,low
1,20.25,JFK Airport,52.0,0.0,11.63,69.76,53.0,23,low
5,9.62,JFK Airport,29.0,0.0,7.45,37.25,21.0,31,high
1,18.9,JFK Airport,52.0,0.0,0.0,58.13,39.0,9,low
1,18.0,JFK Airport,52.0,0.0,11.6,69.73,48.0,19,low
4,25.25,JFK Airport,52.0,0.0,0.0,52.8,67.00000000000001,14,medium
1,16.1,JFK Airport,44.0,0.0,8.0,52.8,25.0,4,low
2,21.21,JFK Airport,52.0,0.0,11.63,69.76,53.0,23,low
3,24.1,JFK Airport,75.0,0.0,15.0,96.13,42.0,7,medium
2,17.69,JFK Airport,52.0,0.0,11.47,69.6,32.00000000000001,15,low
2,10.88,JFK Airport,34.0,0.0,0.0,34.8,31.000000000000004,8,low
2,19.0,JFK Airport,53.0,0.5,10.85,65.15,38.0,15,low
1,20.8,JFK Airport,52.0,0.0,11.6,69.73,29.0,11,low
1,14.77,JFK Airport,57.5,1.0,0.0,59.3,71.0,19,low
1,19.1,JFK Airport,52.0,0.0,0.0,58.13,26.0,18,low
1,15.01,JFK Airport,42.5,0.0,5.0,48.3,30.0,30,low
1,10.8,JFK Airport,32.5,0.5,6.76,40.56,25.0,9,low
1,19.2,JFK Airport,52.0,0.0,0.0,58.13,91.0,19,low
1,18.08,JFK Airport,52.0,0.0,10.0,68.13,41.0,11,low
1,12.24,JFK Airport,40.0,0.0,0.0,40.8,42.0,13,low
2,17.76,JFK Airport,52.0,0.0,13.2,66.0,30.0,24,low
1,16.7,JFK Airport,52.0,0.0,0.0,58.13,26.0,6,low
1,12.67,JFK Airport,36.5,0.0,0.0,37.3,33.00000000000001,3,low
1,14.7,JFK Airport,40.0,1.0,6.0,47.8,25.0,6,low
1,7.39,JFK Airport,22.0,1.0,0.0,23.8,14.0,14,low
1,18.9,JFK Airport,52.0,0.0,0.0,58.13,29.0,7,low
2,18.5,JFK Airport,52.0,0.0,0.0,58.13,34.00000000000001,7,low
1,16.45,JFK Airport,44.5,0.0,15.19,65.82,27.0,24,low
1,4.1,JFK Airport,14.0,0.0,0.0,14.8,12.0,18,low
6,16.16,JFK Airport,45.5,1.0,13.95,61.25,40.0,6,high
1,20.4,JFK Airport,52.0,0.0,11.6,69.73,30.0,15,low
1,18.2,JFK Airport,52.0,0.0,11.6,69.73,57.0,30,low
1,19.0,JFK Airport,52.0,0.0,11.6,69.73,54.0,6,low
1,20.9,JFK Airport,65.5,0.0,0.0,66.3,66.00000000000001,6,low
1,18.22,JFK Airport,52.0,0.0,11.47,69.6,29.0,12,low
1,12.17,JFK Airport,37.5,0.0,9.38,47.68,34.00000000000001,2,low
1,4.6,JFK Airport,15.0,0.5,0.0,16.3,10.0,2,low
1,2.9,JFK Airport,10.5,0.0,0.0,11.3,8.000000000000002,31,low
1,18.12,JFK Airport,52.0,0.0,0.0,58.13,65.00000000000001,13,low
1,10.04,JFK Airport,38.0,0.0,10.0,54.13,52.0,9,low
2,5.4,JFK Airport,18.0,0.0,0.0,18.8,16.000000000000004,17,low
1,20.73,JFK Airport,52.0,0.0,0.0,58.13,54.0,29,low
1,18.99,JFK Airport,53.5,0.0,0.0,54.3,34.00000000000001,28,low
1,20.4,JFK Airport,56.0,0.0,0.0,56.8,36.0,17,low
1,18.3,JFK Airport,52.0,0.0,11.62,69.75,26.0,11,low
1,8.73,JFK Airport,27.5,0.5,5.6,34.4,21.0,12,low
4,7.7,JFK Airport,27.0,0.0,4.17,31.97,26.0,23,medium
5,6.84,JFK Airport,21.0,0.5,5.38,27.68,15.0,18,high
1,17.9,JFK Airport,52.0,0.0,11.6,69.73,46.0,30,low
1,19.21,JFK Airport,52.0,0.0,13.0,65.8,53.0,5,low
1,18.2,JFK Airport,52.0,0.0,0.0,58.13,28.0,19,low
1,0.0,JFK Airport,20.0,0.0,0.0,20.3,0.0,23,low
5,15.33,JFK Airport,41.5,0.5,0.0,42.8,22.0,6,high
1,5.22,JFK Airport,17.5,0.5,0.0,18.8,14.0,19,low
5,17.97,JFK Airport,52.0,0.0,0.0,58.13,42.0,9,high
1,18.3,JFK Airport,52.0,0.0,11.62,69.75,32.00000000000001,24,low
4,0.0,JFK Airport,2.5,0.0,0.0,3.3,1.0000000000000002,25,medium
1,17.59,JFK Airport,52.0,0.0,0.0,52.8,47.0,14,low
5,22.47,JFK Airport,52.0,0.0,13.0,65.8,37.0,6,high
1,19.4,JFK Airport,52.0,0.0,10.0,68.13,40.0,4,low
1,12.9,JFK Airport,40.0,0.0,8.1,48.9,38.0,3,low
1,7.0,JFK Airport,22.0,0.5,0.0,23.3,19.0,29,low
2,19.15,JFK Airport,52.0,0.5,10.5,63.8,33.00000000000001,6,low
1,19.55,JFK Airport,52.0,0.0,5.5,63.63,36.0,18,low
1,13.8,JFK Airport,38.5,0.0,4.0,43.3,28.0,13,low
1,6.98,JFK Airport,21.5,1.0,0.0,23.3,17.000000000000004,5,low
1,16.3,JFK Airport,52.0,0.0,7.0,65.13,38.0,2,low
6,11.92,JFK Airport,35.5,0.5,7.2,44.0,30.0,18,high
2,17.98,JFK Airport,52.0,0.0,6.5,64.63,41.0,13,low
5,8.4,JFK Airport,30.0,0.5,0.0,31.3,22.0,20,high
1,18.0,JFK Airport,52.0,0.0,11.47,69.6,43.0,2,low
1,18.18,JFK Airport,52.0,0.0,0.0,58.13,49.0,16,low
3,19.31,JFK Airport,57.0,0.0,0.0,63.13,43.0,8,medium
1,0.0,JFK Airport,2.5,0.0,0.0,3.3,0.0,30,low
1,20.01,JFK Airport,52.0,0.0,10.4,63.2,58.0,18,low
1,17.3,JFK Airport,52.0,0.0,7.0,65.13,24.0,15,low
1,0.1,JFK Airport,3.0,0.5,0.0,4.3,0.0,15,low
1,6.6,JFK Airport,21.0,0.5,0.0,22.3,15.0,7,low
1,18.2,JFK Airport,52.0,0.0,10.55,63.35,28.0,4,low
1,18.0,JFK Airport,52.0,0.0,11.47,69.6,27.0,11,low
2,9.4,JFK Airport,28.0,0.5,0.0,29.3,25.0,7,low
2,19.15,JFK Airport,52.0,0.0,0.0,58.13,44.0,6,low
3,17.19,JFK Airport,52.0,0.0,0.0,52.8,45.0,4,medium
1,17.24,JFK Airport,52.0,0.0,11.47,69.6,55.0,5,low
1,16.1,JFK Airport,48.0,0.0,0.0,54.13,39.0,18,low
1,11.62,JFK Airport,37.5,1.0,0.0,39.3,38.0,28,low
5,18.34,JFK Airport,55.5,0.0,0.0,56.3,55.0,16,high
1,0.1,JFK Airport,2.5,0.0,0.0,3.3,1.0000000000000002,28,low
3,8.4,JFK Airport,29.0,0.0,5.0,34.8,33.00000000000001,29,medium
1,18.04,JFK Airport,52.0,0.0,0.0,58.13,53.0,8,low
1,17.59,JFK Airport,52.0,0.0,11.47,69.6,27.0,2,low
5,18.44,JFK Airport,52.0,0.0,0.0,58.13,41.0,2,high
5,20.08,JFK Airport,52.0,0.0,17.2,75.33,36.0,10,high
1,16.1,JFK Airport,52.0,0.0,0.0,52.8,51.0,18,low
1,13.6,JFK Airport,48.0,0.0,0.0,48.8,54.0,23,low
2,19.15,JFK Airport,52.0,0.0,10.0,68.13,32.00000000000001,31,low
2,19.5,JFK Airport,57.5,0.0,0.0,58.3,52.0,19,low
2,24.0,JFK Airport,52.0,0.0,10.0,68.13,79.0,19,low
1,18.5,JFK Airport,52.0,0.0,0.0,52.8,40.0,25,low
